Name,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
ARS1_1,2,0.153392767,0.149702799,0.376952339,0.202513723,0.132320438,0.135188416,0.137943294,0.186595474
ARS1_1,2,0.153086444,0.149965932,0.378161983,0.211147525,0.13198323,0.134820635,0.138678587,0.186091581
ARS1_1,2,0.157457409,0.147103691,0.371556363,0.212165966,0.131089231,0.134943054,0.139171638,0.192423228
ARS1_1,2,0.157936464,0.148916881,0.374845308,0.204147983,0.132207955,0.135928054,0.138555688,0.1893745
ARS1_1,2,0.158578466,0.15344261,0.379071426,0.205629161,0.132433082,0.13692272,0.138924822,0.190389052
ARS1_1,2,0.158739596,0.152631026,0.377859371,0.203329222,0.131535307,0.135804387,0.140039994,0.1893745
ARS1_1,2,0.159224334,0.15236174,0.372450535,0.20629088,0.132095553,0.136175784,0.139419035,0.189628138
ARS1_1,2,0.157776506,0.151557686,0.373346716,0.203329222,0.131759068,0.136797869,0.139791218,0.189628138
ARS1_1,2,0.158096598,0.153171462,0.376349125,0.203492788,0.131089231,0.136548561,0.139419035,0.190135414
ARS1_1,2,0.157457409,0.151157642,0.377556759,0.20513427,0.130866917,0.135804387,0.138555688,0.189881776
ARS1_1,2,0.157776506,0.151157642,0.372152344,0.203002557,0.130866917,0.130509959,0.137213082,0.191659778
ARS1_1,2,0.156980464,0.153306995,0.375446111,0.204640544,0.128669079,0.134698283,0.137091925,0.185588532
ARS1_1,2,0.156980464,0.151691277,0.374245309,0.202188223,0.129104951,0.13543437,0.138801632,0.187352161
ARS1_1,2,0.155718843,0.150494061,0.370664602,0.197683641,0.130866917,0.136673149,0.139419035,0.185840479
ARS1_1,2,0.157457409,0.149965932,0.372450535,0.203165889,0.130423653,0.137047768,0.139667012,0.190135414
ARS1_1,2,0.157298154,0.149440233,0.373346716,0.20629088,0.129762253,0.137549407,0.140790024,0.191405294
ARS1_1,2,0.156663652,0.144814108,0.37394551,0.209124855,0.130866917,0.136299911,0.140915537,0.18886807
ARS1_1,2,0.158096598,0.150361847,0.373646113,0.203002557,0.130645004,0.136051853,0.139667012,0.190389052
ARS1_1,2,0.156190223,0.151024699,0.375747116,0.204476279,0.12954267,0.135065669,0.139295264,0.189628138
ARS1_1,2,0.157298154,0.151024699,0.378464997,0.207953566,0.130978034,0.134820635,0.139419035,0.1893745
ARS1_1,2,0.155405782,0.148395877,0.375145509,0.203820152,0.12943308,0.134820635,0.136608456,0.186343527
ARS1_1,2,0.160037075,0.147877302,0.373646113,0.207953566,0.13075588,0.134943054,0.13769931,0.1893745
ARS1_1,2,0.160037075,0.152093101,0.37604812,0.208287454,0.130534288,0.134454169,0.138310324,0.189121708
ARS1_1,2,0.16085591,0.156050139,0.373047721,0.203002557,0.128560372,0.137549407,0.140414355,0.189881776
ARS1_1,2,0.161020438,0.15303609,0.375145509,0.206456543,0.129872165,0.135311295,0.141167071,0.191914261
ARS1_1,2,0.158578466,0.148525905,0.370071033,0.203820152,0.12943308,0.136175784,0.138678587,0.190389052
ARS1_1,2,0.158096598,0.151157642,0.373646113,0.198481199,0.130202704,0.136051853,0.139419035,0.188362485
ARS1_1,2,0.158256967,0.149440233,0.374545108,0.201376918,0.129872165,0.135680851,0.138678587,0.188615277
ARS1_1,2,0.160363906,0.150759056,0.37604812,0.213018046,0.12921422,0.134332343,0.138432933,0.190389052
ARS1_1,2,0.159548704,0.15398677,0.374845308,0.209797059,0.130534288,0.135311295,0.137821266,0.187099368
ARS1_1,2,0.157139192,0.151424176,0.373346716,0.204805042,0.129872165,0.134210648,0.137943294,0.186343527
